Unnamed: 0,B2_3-2_Spleen_S12,B2_3-1_Spleen_S6,B2_3-5_Spleen_S24,B2_1-6_Spleen_S17,B2_1-3_Spleen_S42,B2_2-6_Spleen_S43,B2_2-4_Spleen_S34,B2_1-4_Spleen_S5,B2_2-2_Spleen_S23,B2_3-3_Spleen_S18,B2_1-5_Spleen_S11
ENSMUST00000197734.2,15.246,12.086,21.544,31.77,46.14,16.013,19.576,30.94,44.581,12.998,18.383
ENSMUST00000149304.2,0.0,20.623,22.979,0.0,25.262,0.0,0.0,0.0,15.453,37.086,0.0
ENSMUST00000150889.3,53.0,11.0,32.0,15.0,17.0,18.0,35.0,49.0,0.0,12.0,25.0
ENSMUST00000140210.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUST00000236218.2,122.715,52.847,159.938,141.937,79.442,74.443,179.263,89.646,74.327,22.174,52.906
ENSMUST00000185089.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUST00000112705.9,1886.443,844.535,2682.048,2050.338,1202.277,695.538,1479.09,1833.82,1363.371,522.184,798.543
ENSMUST00000028307.9,6086.495,3131.79,6441.872,7603.378,5164.753,6023.387,5428.117,4123.337,2095.611,1684.0,2146.502
ENSMUST00000246216.1,60.371,0.0,0.0,0.0,14.367,0.0,0.0,0.0,0.0,0.0,133.704
ENSMUST00000121232.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUST00000175938.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.302,0.0,0.0
ENSMUST00000065932.14,1071.502,179.473,2626.144,1805.14,1676.029,799.984,1389.391,693.612,548.565,273.046,245.021
ENSMUST00000107303.10,1417.417,1453.957,988.132,899.349,224.766,923.919,1582.617,1688.12,139.902,653.914,0.0
ENSMUST00000101655.10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUST00020181905.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUST00000232013.2,8.145,0.0,50.97,21.396,14.446,0.0,29.465,0.0,13.345,0.0,16.98
ENSMUST00000222523.2,22.011,28.0,145.025,92.129,64.654,18.0,112.864,17.181,9.384,0.0,54.518
ENSMUST00000230894.2,0.0,0.0,6.773,9.63,16.797,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUST00000162567.8,0.0,0.0,7.748,0.0,0.0,0.0,0.0,2.129,0.0,0.0,7.547
ENSMUST00000066028.13,1641.117,733.391,2593.678,1963.103,1016.516,671.411,1581.739,1341.983,1112.185,681.345,919.305
ENSMUST00000140992.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUST00000125014.2,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
ENSMUST00000021370.10,660.0,230.0,1013.699,909.0,570.0,334.0,659.0,471.0,497.0,179.0,424.0
ENSMUST00000120110.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUST00000148825.2,0.0,0.0,0.0,5.0,11.725,0.0,13.966,8.0,0.0,0.0,0.0
ENSMUST00000202652.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUST00020183126.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUST00000184759.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUST00000140039.2,699.272,167.855,1345.253,846.297,728.812,27.763,604.478,0.0,739.488,0.0,499.159
ENSMUST00000229741.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUST00000204088.3,35.075,54.521,12.342,17.63,7.206,2.597,20.691,18.666,0.0,0.0,0.0
ENSMUST00000223983.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUST00000163043.2,16.494,0.0,4.84,19.145,17.319,0.0,23.107,0.0,11.406,0.0,0.0
ENSMUST00000242645.1,128.519,36.106,135.566,176.27,114.406,51.763,119.81,67.012,86.459,23.999,54.609
ENSMUST00000243447.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
